原始代码,参考价格,匹配状态,标准化代码,股票名称,当前价格,价格差异,匹配类型
'000045,11.51,未找到匹配,000045,,,,代码不存在
'000548,5.38,未找到匹配,000548,,,,代码不存在
'000586,10.85,未找到匹配,000586,,,,代码不存在
'000603,15.4,未找到匹配,000603,,,,代码不存在
'000688,12.86,未找到匹配,000688,,,,代码不存在
'000823,10.51,未找到匹配,000823,,,,代码不存在
'000981,2.19,未找到匹配,000981,,,,代码不存在
'001258,7.33,未找到匹配,001258,,,,代码不存在
'002097,8.03,未找到匹配,002097,,,,代码不存在
'002184,13.1,未找到匹配,002184,,,,代码不存在
'002237,11.56,未找到匹配,002237,,,,代码不存在
'002337,5.91,未找到匹配,002337,,,,代码不存在
'002544,23.25,未找到匹配,002544,,,,代码不存在
'003009,44.09,未找到匹配,003009,,,,代码不存在
'300018,7.5,未找到匹配,300018,,,,代码不存在
'300470,37.08,未找到匹配,300470,,,,代码不存在
'300578,20.35,未找到匹配,300578,,,,代码不存在
'300866,105.42,未找到匹配,300866,,,,代码不存在
'301035,58.43,未找到匹配,301035,,,,代码不存在
'301270,40.6,未找到匹配,301270,,,,代码不存在
'600008,3.2,未找到匹配,600008,,,,代码不存在
'600073,8.29,未找到匹配,600073,,,,代码不存在
'600118,27.46,未找到匹配,600118,,,,代码不存在
'600302,5.84,未找到匹配,600302,,,,代码不存在
'600808,3.42,未找到匹配,600808,,,,代码不存在
'600819,6.1,未找到匹配,600819,,,,代码不存在
'600846,9.96,未找到匹配,600846,,,,代码不存在
'600879,9.13,未找到匹配,600879,,,,代码不存在
'603069,19.14,未找到匹配,603069,,,,代码不存在
