原始代码,参考价格,匹配状态,标准化代码,股票代码,股票名称,当前价格,价格差异,匹配类型,涨跌幅,涨跌额,成交量,成交额,市盈率,市净率
'000037,9.58,匹配成功,000037,000037,深南电A,9.5,0.08000000000000007,代码标准化匹配,-0.84,-0.08,,,-116.34,3.88
'000603,15.61,匹配成功,000603,000603,盛达资源,16.0,0.39000000000000057,代码标准化匹配,2.5,0.39,,,333.15,3.72
'000798,7.89,匹配成功,000798,000798,中水渔业,7.71,0.17999999999999972,代码标准化匹配,-2.28,-0.18,,,-43.92,8.24
'000823,10.74,匹配成功,000823,000823,超声电子,11.2,0.4599999999999991,代码标准化匹配,4.28,0.46,,,35.99,1.28
'000970,12.35,匹配成功,000970,000970,中科三环,12.28,0.07000000000000028,代码标准化匹配,-0.57,-0.07,,,276.67,2.32
'000985,18.54,匹配成功,000985,000985,大庆华科,18.56,0.019999999999999574,代码标准化匹配,0.11,0.02,,,84.4,3.97
'001259,26.16,匹配成功,001259,001259,利仁科技,28.78,2.620000000000001,代码标准化匹配,10.02,2.62,,,249.9,2.97
'001368,23.37,匹配成功,001368,001368,通达创智,23.37,0.0,代码标准化匹配,0.0,0.0,,,23.69,1.94
'002132,3.55,匹配成功,002132,002132,恒星科技,3.55,0.0,代码标准化匹配,0.0,0.0,,,219.38,1.41
'002208,7.43,匹配成功,002208,002208,合肥城建,7.08,0.34999999999999964,代码标准化匹配,-4.71,-0.35,,,153.86,0.88
'002300,6.79,匹配成功,002300,002300,太阳电缆,6.8,0.009999999999999787,代码标准化匹配,0.15,0.01,,,58.63,2.57
'002352,49.68,匹配成功,002352,002352,顺丰控股,49.68,0.0,代码标准化匹配,0.0,0.0,,,27.75,2.64
'300457,20.45,匹配成功,300457,300457,赢合科技,22.0,1.5500000000000007,代码标准化匹配,7.58,1.55,,,235.46,2.24
'300479,21.5,匹配成功,300479,300479,神思电子,21.51,0.010000000000001563,代码标准化匹配,0.05,0.01,,,-36.75,8.22
'300585,15.43,匹配成功,300585,300585,奥联电子,15.97,0.5400000000000009,代码标准化匹配,3.5,0.54,,,-373.93,3.87
'300943,16.02,匹配成功,300943,300943,春晖智控,16.0,0.019999999999999574,代码标准化匹配,-0.12,-0.02,,,64.45,3.4
'301048,11.04,匹配成功,301048,301048,金鹰重工,11.03,0.009999999999999787,代码标准化匹配,-0.09,-0.01,,,42.05,2.19
'301176,17.69,匹配成功,301176,301176,逸豪新材,,,代码标准化匹配,,,,,-485.48,1.95
'301208,43.33,匹配成功,301208,301208,中亦科技,43.32,0.00999999999999801,代码标准化匹配,-0.02,-0.01,,,118.29,3.43
'301292,16.33,匹配成功,301292,301292,海科新源,16.33,0.0,代码标准化匹配,0.0,0.0,,,-82.31,1.28
'301380,50.8,匹配成功,301380,301380,挖金客,41.75,9.049999999999997,代码标准化匹配,20.01,6.96,,,62.0,5.89
'301520,46.71,匹配成功,301520,301520,万邦医药,40.0,6.710000000000001,代码标准化匹配,-14.37,-6.71,,,56.26,1.78
'600435,11.66,匹配成功,600435,600435,北方导航,11.63,0.02999999999999936,代码标准化匹配,-0.26,-0.03,,,-261.81,6.34
'600458,12.79,匹配成功,600458,600458,时代新材,12.8,0.010000000000001563,代码标准化匹配,0.08,0.01,,,17.41,1.73
'600470,6.3,匹配成功,600470,600470,六国化工,6.31,0.009999999999999787,代码标准化匹配,0.16,0.01,,,-12.33,1.86
'600549,21.06,匹配成功,600549,600549,厦门钨业,21.06,0.0,代码标准化匹配,0.0,0.0,,,21.38,2.05
'600775,10.65,匹配成功,600775,600775,南京熊猫,11.72,1.0700000000000003,代码标准化匹配,10.05,1.07,,,-75.89,3.48
'600855,13.43,匹配成功,600855,600855,航天长峰,13.6,0.16999999999999993,代码标准化匹配,1.27,0.17,,,-37.2,4.07
'600875,16.85,匹配成功,600875,600875,东方电气,16.85,0.0,代码标准化匹配,0.0,0.0,,,12.38,1.3
'601059,16.74,匹配成功,601059,601059,信达证券,16.97,0.23000000000000043,代码标准化匹配,1.37,0.23,,,67.18,2.88
'601555,8.74,匹配成功,601555,601555,东吴证券,8.71,0.02999999999999936,代码标准化匹配,-0.34,-0.03,,,11.04,1.05
'601788,17.93,匹配成功,601788,601788,光大证券,17.96,0.030000000000001137,代码标准化匹配,0.17,0.03,,,25.27,1.39
'601857,9.18,匹配成功,601857,601857,中国石油,9.18,0.0,代码标准化匹配,0.0,0.0,,,8.97,1.1
'601872,6.69,匹配成功,601872,601872,招商轮船,6.75,0.05999999999999961,代码标准化匹配,0.9,0.06,,,15.74,1.38
'601916,3.44,匹配成功,601916,601916,浙商银行,3.44,0.0,代码标准化匹配,0.0,0.0,,,3.97,0.53
