原始代码,参考价格,匹配状态,标准化代码,股票代码,股票名称,当前价格,价格差异,匹配类型,涨跌幅,涨跌额,成交量,成交额,市盈率,市净率
'000798,7.33,匹配成功,000798,000798,中水渔业,0.0,7.33,代码标准化匹配,0.0,0.0,0,0.0,0.0,0.0
'002208,7.28,匹配成功,002208,002208,合肥城建,0.0,7.28,代码标准化匹配,0.0,0.0,0,0.0,0.0,0.0
'300457,20.95,匹配成功,300457,300457,赢合科技,0.0,20.95,代码标准化匹配,0.0,0.0,0,0.0,0.0,0.0
'300479,21.35,匹配成功,300479,300479,神思电子,0.0,21.35,代码标准化匹配,0.0,0.0,0,0.0,0.0,0.0
'301176,21.23,匹配成功,301176,301176,逸豪新材,0.0,21.23,代码标准化匹配,0.0,0.0,0,0.0,0.0,0.0
'301208,43.9,匹配成功,301208,301208,C中亦,0.0,43.9,代码标准化匹配,0.0,0.0,0,0.0,0.0,0.0
'301292,15.97,匹配成功,301292,301292,海科新源,0.0,15.97,代码标准化匹配,0.0,0.0,0,0.0,0.0,0.0
'301380,34.75,匹配成功,301380,301380,挖金客,0.0,34.75,代码标准化匹配,0.0,0.0,0,0.0,0.0,0.0
'600775,10.89,匹配成功,600775,600775,南京熊猫,0.0,10.89,代码标准化匹配,0.0,0.0,0,0.0,0.0,0.0
'600855,13.41,匹配成功,600855,600855,航天长峰,0.0,13.41,代码标准化匹配,0.0,0.0,0,0.0,0.0,0.0
'603069,20.6,匹配成功,603069,603069,海汽集团,0.0,20.6,代码标准化匹配,0.0,0.0,0,0.0,0.0,0.0
'603215,21.14,匹配成功,603215,603215,N比依,0.0,21.14,代码标准化匹配,0.0,0.0,0,0.0,0.0,0.0
'688151,20.79,匹配成功,688151,688151,华强科技,0.0,20.79,代码标准化匹配,0.0,0.0,0,0.0,0.0,0.0
