原始代码,参考价格,匹配状态,标准化代码,股票代码,股票名称,当前价格,价格差异,匹配类型,涨跌幅,涨跌额,成交量,成交额,市盈率,市净率,验证置信度,名称一致性,验证数据源数,推荐名称,验证详情
'000823,11.05,匹配成功,000823,000823,超声电子,0.0,11.05,代码标准化匹配,0.0,0.0,0,0.0,0.0,0.0,100.0%,100.0%,4,超声电子,"{'akshare': {'found': True, 'name': '超声电子', 'price': np.float64(11.05), 'name_match': True}, 'sina': {'found': True, 'name': '超声电子', 'price': np.float64(0.0), 'name_match': True}, 'tencent': {'found': True, 'name': '超声电子', 'price': np.float64(11.05), 'name_match': True}, 'eastmoney': {'found': True, 'name': '超声电子', 'price': np.float64(0.0), 'name_match': True}}"
'000852,6.78,匹配成功,000852,000852,石化机械,0.0,6.78,代码标准化匹配,0.0,0.0,0,0.0,0.0,0.0,100.0%,100.0%,4,石化机械,"{'akshare': {'found': True, 'name': '石化机械', 'price': np.float64(6.78), 'name_match': True}, 'sina': {'found': True, 'name': '石化机械', 'price': np.float64(0.0), 'name_match': True}, 'tencent': {'found': True, 'name': '石化机械', 'price': np.float64(6.78), 'name_match': True}, 'eastmoney': {'found': True, 'name': '石化机械', 'price': np.float64(0.0), 'name_match': True}}"
'001314,50.29,匹配成功,001314,001314,亿道信息,0.0,50.29,代码标准化匹配,0.0,0.0,0,0.0,0.0,0.0,100.0%,100.0%,4,亿道信息,"{'akshare': {'found': True, 'name': '亿道信息', 'price': np.float64(50.29), 'name_match': True}, 'sina': {'found': True, 'name': '亿道信息', 'price': np.float64(0.0), 'name_match': True}, 'tencent': {'found': True, 'name': '亿道信息', 'price': np.float64(50.29), 'name_match': True}, 'eastmoney': {'found': True, 'name': '亿道信息', 'price': np.float64(0.0), 'name_match': True}}"
'002097,8.02,匹配成功,002097,002097,山河智能,0.0,8.02,代码标准化匹配,0.0,0.0,0,0.0,0.0,0.0,100.0%,100.0%,4,山河智能,"{'akshare': {'found': True, 'name': '山河智能', 'price': np.float64(8.02), 'name_match': True}, 'sina': {'found': True, 'name': '山河智能', 'price': np.float64(0.0), 'name_match': True}, 'tencent': {'found': True, 'name': '山河智能', 'price': np.float64(8.02), 'name_match': True}, 'eastmoney': {'found': True, 'name': '山河智能', 'price': np.float64(0.0), 'name_match': True}}"
'300099,7.27,匹配成功,300099,300099,精准信息,0.0,7.27,代码标准化匹配,0.0,0.0,0,0.0,0.0,0.0,75.0%,66.7%,3,精准信息,"{'akshare': {'found': False, 'name': None, 'price': None, 'name_match': False, 'error': ""HTTPSConnectionPool(host='82.push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/clist/get?pn=57&pz=100&po=1&np=1&ut=bd1d9ddb04089700cf9c27f6f7426281&fltt=2&invt=2&fid=f12&fs=m%3A0+t%3A6%2Cm%3A0+t%3A80%2Cm%3A1+t%3A2%2Cm%3A1+t%3A23%2Cm%3A0+t%3A81+s%3A2048&fields=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf12%2Cf13%2Cf14%2Cf15%2Cf16%2Cf17%2Cf18%2Cf20%2Cf21%2Cf23%2Cf24%2Cf25%2Cf22%2Cf11%2Cf62%2Cf128%2Cf136%2Cf115%2Cf152 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))""}, 'sina': {'found': True, 'name': '精准信息', 'price': np.float64(0.0), 'name_match': True}, 'tencent': {'found': True, 'name': '尤洛卡', 'price': np.float64(7.27), 'name_match': False}, 'eastmoney': {'found': True, 'name': '精准信息', 'price': np.float64(0.0), 'name_match': True}}"
'300457,21.27,匹配成功,300457,300457,赢合科技,0.0,21.27,代码标准化匹配,0.0,0.0,0,0.0,0.0,0.0,75.0%,100.0%,3,赢合科技,"{'akshare': {'found': False, 'name': None, 'price': None, 'name_match': False, 'error': ""HTTPSConnectionPool(host='82.push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/clist/get?pn=1&pz=100&po=1&np=1&ut=bd1d9ddb04089700cf9c27f6f7426281&fltt=2&invt=2&fid=f12&fs=m%3A0+t%3A6%2Cm%3A0+t%3A80%2Cm%3A1+t%3A2%2Cm%3A1+t%3A23%2Cm%3A0+t%3A81+s%3A2048&fields=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf12%2Cf13%2Cf14%2Cf15%2Cf16%2Cf17%2Cf18%2Cf20%2Cf21%2Cf23%2Cf24%2Cf25%2Cf22%2Cf11%2Cf62%2Cf128%2Cf136%2Cf115%2Cf152 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))""}, 'sina': {'found': True, 'name': '赢合科技', 'price': np.float64(0.0), 'name_match': True}, 'tencent': {'found': True, 'name': '赢合科技', 'price': np.float64(21.27), 'name_match': True}, 'eastmoney': {'found': True, 'name': '赢合科技', 'price': np.float64(0.0), 'name_match': True}}"
'300479,21.46,匹配成功,300479,300479,神思电子,0.0,21.46,代码标准化匹配,0.0,0.0,0,0.0,0.0,0.0,75.0%,100.0%,3,神思电子,"{'akshare': {'found': False, 'name': None, 'price': None, 'name_match': False, 'error': ""HTTPSConnectionPool(host='82.push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/clist/get?pn=1&pz=100&po=1&np=1&ut=bd1d9ddb04089700cf9c27f6f7426281&fltt=2&invt=2&fid=f12&fs=m%3A0+t%3A6%2Cm%3A0+t%3A80%2Cm%3A1+t%3A2%2Cm%3A1+t%3A23%2Cm%3A0+t%3A81+s%3A2048&fields=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf12%2Cf13%2Cf14%2Cf15%2Cf16%2Cf17%2Cf18%2Cf20%2Cf21%2Cf23%2Cf24%2Cf25%2Cf22%2Cf11%2Cf62%2Cf128%2Cf136%2Cf115%2Cf152 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))""}, 'sina': {'found': True, 'name': '神思电子', 'price': np.float64(0.0), 'name_match': True}, 'tencent': {'found': True, 'name': '神思电子', 'price': np.float64(21.46), 'name_match': True}, 'eastmoney': {'found': True, 'name': '神思电子', 'price': np.float64(0.0), 'name_match': True}}"
'300585,15.63,匹配成功,300585,300585,奥联电子,0.0,15.63,代码标准化匹配,0.0,0.0,0,0.0,0.0,0.0,75.0%,100.0%,3,奥联电子,"{'akshare': {'found': False, 'name': None, 'price': None, 'name_match': False, 'error': ""HTTPSConnectionPool(host='82.push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/clist/get?pn=1&pz=100&po=1&np=1&ut=bd1d9ddb04089700cf9c27f6f7426281&fltt=2&invt=2&fid=f12&fs=m%3A0+t%3A6%2Cm%3A0+t%3A80%2Cm%3A1+t%3A2%2Cm%3A1+t%3A23%2Cm%3A0+t%3A81+s%3A2048&fields=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf12%2Cf13%2Cf14%2Cf15%2Cf16%2Cf17%2Cf18%2Cf20%2Cf21%2Cf23%2Cf24%2Cf25%2Cf22%2Cf11%2Cf62%2Cf128%2Cf136%2Cf115%2Cf152 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))""}, 'sina': {'found': True, 'name': '奥联电子', 'price': np.float64(0.0), 'name_match': True}, 'tencent': {'found': True, 'name': '奥联电子', 'price': np.float64(15.63), 'name_match': True}, 'eastmoney': {'found': True, 'name': '奥联电子', 'price': np.float64(0.0), 'name_match': True}}"
'300722,32.13,匹配成功,300722,300722,新余国科,0.0,32.13,代码标准化匹配,0.0,0.0,0,0.0,0.0,0.0,75.0%,100.0%,3,新余国科,"{'akshare': {'found': False, 'name': None, 'price': None, 'name_match': False, 'error': ""HTTPSConnectionPool(host='82.push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/clist/get?pn=1&pz=100&po=1&np=1&ut=bd1d9ddb04089700cf9c27f6f7426281&fltt=2&invt=2&fid=f12&fs=m%3A0+t%3A6%2Cm%3A0+t%3A80%2Cm%3A1+t%3A2%2Cm%3A1+t%3A23%2Cm%3A0+t%3A81+s%3A2048&fields=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf12%2Cf13%2Cf14%2Cf15%2Cf16%2Cf17%2Cf18%2Cf20%2Cf21%2Cf23%2Cf24%2Cf25%2Cf22%2Cf11%2Cf62%2Cf128%2Cf136%2Cf115%2Cf152 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))""}, 'sina': {'found': True, 'name': '新余国科', 'price': np.float64(0.0), 'name_match': True}, 'tencent': {'found': True, 'name': '新余国科', 'price': np.float64(32.13), 'name_match': True}, 'eastmoney': {'found': True, 'name': '新余国科', 'price': np.float64(0.0), 'name_match': True}}"
'301056,10.34,匹配成功,301056,301056,N森赫,0.0,10.34,代码标准化匹配,0.0,0.0,0,0.0,0.0,0.0,75.0%,66.7%,3,N森赫,"{'akshare': {'found': False, 'name': None, 'price': None, 'name_match': False, 'error': ""HTTPSConnectionPool(host='82.push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/clist/get?pn=1&pz=100&po=1&np=1&ut=bd1d9ddb04089700cf9c27f6f7426281&fltt=2&invt=2&fid=f12&fs=m%3A0+t%3A6%2Cm%3A0+t%3A80%2Cm%3A1+t%3A2%2Cm%3A1+t%3A23%2Cm%3A0+t%3A81+s%3A2048&fields=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf12%2Cf13%2Cf14%2Cf15%2Cf16%2Cf17%2Cf18%2Cf20%2Cf21%2Cf23%2Cf24%2Cf25%2Cf22%2Cf11%2Cf62%2Cf128%2Cf136%2Cf115%2Cf152 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))""}, 'sina': {'found': True, 'name': 'N森赫', 'price': np.float64(0.0), 'name_match': True}, 'tencent': {'found': True, 'name': '森赫股份', 'price': np.float64(10.34), 'name_match': False}, 'eastmoney': {'found': True, 'name': 'N森赫', 'price': np.float64(0.0), 'name_match': True}}"
