股票代码,入选时间,买入价格,操作,止盈价格,止损价格,满足量比换手率条件,测试时间
'000798,2025-06-18 11:01:08,7.33,买入,8.06,6.96,True,2025-06-18 11:01:08
'002208,2025-06-18 11:01:08,7.28,买入,8.0,6.91,True,2025-06-18 11:01:08
'300457,2025-06-18 11:01:08,20.95,买入,23.04,19.9,True,2025-06-18 11:01:08
'300479,2025-06-18 11:01:08,21.35,买入,23.48,20.28,True,2025-06-18 11:01:08
'301176,2025-06-18 11:01:08,21.23,买入,23.35,20.16,True,2025-06-18 11:01:08
'301208,2025-06-18 11:01:08,43.9,买入,48.29,41.7,True,2025-06-18 11:01:08
'301292,2025-06-18 11:01:08,15.97,买入,17.56,15.17,True,2025-06-18 11:01:08
'301380,2025-06-18 11:01:08,34.75,买入,38.22,33.01,True,2025-06-18 11:01:08
'600775,2025-06-18 11:01:08,10.89,买入,11.97,10.34,True,2025-06-18 11:01:08
'600855,2025-06-18 11:01:08,13.41,买入,14.75,12.73,True,2025-06-18 11:01:08
'603069,2025-06-18 11:01:08,20.6,买入,22.66,19.57,True,2025-06-18 11:01:08
'603215,2025-06-18 11:01:08,21.14,买入,23.25,20.08,True,2025-06-18 11:01:08
'688151,2025-06-18 11:01:08,20.79,买入,22.86,19.75,True,2025-06-18 11:01:08
