股票代码,入选时间,买入价格,操作,止盈价格,止损价格
'000823,2025-06-18 15:48:01,11.05,买入,12.155,10.4975
'000852,2025-06-18 15:48:01,6.78,买入,7.458,6.441
'001314,2025-06-18 15:48:01,50.29,买入,55.319,47.7755
'002097,2025-06-18 15:48:01,8.02,买入,8.822,7.619
'300099,2025-06-18 15:48:01,7.27,买入,7.997,6.9065
'300457,2025-06-18 15:48:01,21.27,买入,23.397,20.2065
'300479,2025-06-18 15:48:01,21.46,买入,23.606,20.387
'300585,2025-06-18 15:48:01,15.63,买入,17.193,14.8485
'300722,2025-06-18 15:48:01,32.13,买入,35.343,30.5235
'301056,2025-06-18 15:48:01,10.34,买入,11.374,9.823
'301132,2025-06-18 15:48:01,31.68,买入,34.848,30.096
'301169,2025-06-18 15:48:01,41.12,买入,45.232,39.064
'301208,2025-06-18 15:48:01,44.37,买入,48.807,42.1515
'301251,2025-06-18 15:48:01,37.13,买入,40.843,35.2735
'301338,2025-06-18 15:48:01,41.5,买入,45.65,39.425
'301362,2025-06-18 15:48:01,40.07,买入,44.077,38.0665
'600379,2025-06-18 15:48:01,11.13,买入,12.243,10.5735
'600435,2025-06-18 15:48:01,11.82,买入,13.002,11.229
'600775,2025-06-18 15:48:01,10.55,买入,11.605,10.0225
'600875,2025-06-18 15:48:01,16.85,买入,18.535,16.0075
'600879,2025-06-18 15:48:01,9.19,买入,10.109,8.7305
'601089,2025-06-18 15:48:01,18.76,买入,20.636,17.822
'601611,2025-06-18 15:48:01,9.18,买入,10.098,8.721
'601658,2025-06-18 15:48:01,5.51,买入,6.061,5.2345
'601818,2025-06-18 15:48:01,4.1,买入,4.51,3.895
'603097,2025-06-18 15:48:01,23.63,买入,25.993,22.4485
'603722,2025-06-18 15:48:01,43.84,买入,48.224,41.648
'605158,2025-06-18 15:48:01,8.87,买入,9.757,8.4265
'688082,2025-06-18 15:48:01,109.43,买入,120.373,103.9585
'688143,2025-06-18 15:48:01,35.0,买入,38.5,33.25
'688267,2025-06-18 15:48:01,27.41,买入,30.151,26.0395
