股票代码,买入价格,止盈价格,止损价格
000548,5.34,5.874,5.073
000586,11.12,12.232,10.564
000676,9.12,10.032,8.664
000850,4.46,4.906,4.237
000878,12.72,13.992,12.084
000960,15.3,16.83,14.535
000995,14.61,16.071,13.8795
002023,10.82,11.902,10.279
002350,6.86,7.546,6.517
300099,7.34,8.074,6.973
300112,9.05,9.955,8.5975
300123,7.22,7.942,6.859
300582,12.82,14.102,12.179
300930,28.52,31.372,27.094
301309,26.31,28.941,24.9945
301311,20.43,22.473,19.4085
600118,28.57,31.427,27.1415
600182,15.91,17.501,15.1145
600235,6.25,6.875,5.9375
600237,7.25,7.975,6.8875
600356,8.05,8.855,7.6475
600470,6.23,6.853,5.9185
600523,14.79,16.269,14.0505
600536,46.77,51.447,44.4315
600768,11.43,12.573,10.8585
600776,11.14,12.254,10.583
600775,10.89,11.979,10.3455
600834,9.3,10.23,8.835
603186,30.18,33.198,28.671
605183,17.5,19.25,16.625
688123,80.99,89.089,76.9405
688362,29.78,32.758,28.291
688517,14.38,15.818,13.661
300750,252.22,288.53,250.44
600071,21.36,24.43,19.89
600461,9.64,10.84,9.48
600897,14.59,14.82,14.32
603606,51.71,62.25,47.02
